Manufacturer (short name),Manufacturer,Year,registration,Average mass (Kg),Average CO2 emissions (g/Km)
BMW AG,BAYERISCHE MOTOREN WERKE AG,2011,723340,1569.17,129.24
DAIMLER AG,DAIMLER AG,2011,626361,1569.61,132.13
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2011,836642,1140.19,109.89
FORD WERKE GMBH,FORD-WERKE GMBH,2011,1004863,1324.19,119.02
GM KOREA,GM KOREA COMPANY,2011,156787,1320.43,125.95
HYUNDAI,HYUNDAI MOTOR COMPANY,2011,364221,1297.12,118.97
KIA,KIA MOTORS CORPORATION,2011,279483,1353.33,122.05
MAZDA,MAZDA MOTOR CORPORATION,2011,125369,1386.11,131.62
NISSAN,NISSAN INTERNATIONAL SA,2011,443514,1375.34,127.35
RENAULT,RENAULT SAS,2011,1006021,1293.02,114.82
SEAT,SEAT SA,2011,293265,1288.76,114.13
SKODA,SKODA AUTO AS,2011,448821,1316.07,122.32
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2011,523143,1331.32,109.29
VOLKSWAGEN,VOLKSWAGEN AG,2011,1574303,1415.14,121.74
VOLVO,VOLVO CAR CORPORATION,2011,225600,1700.69,132.25
OPEL,ADAM OPEL AG,2010,935499,1382.56,126.92
AUDI AG,AUDI AG,2010,589855,1598.8,133.88
DACIA,AUTOMOBILE DACIA SA,2010,251938,1237.01,133.87
AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,2010,815936,1314.26,118.76
AUTOMOBILES PEUGEOT,AUTOMOBILES PEUGEOT,2010,974248,1321.76,119.21
BMW AG,BAYERISCHE MOTOREN WERKE AG,2010,640021,1534.13,129.25
DAIMLER AG,DAIMLER AG,2010,646067,1532.24,137.76
FIAT GROUP,FIAT GROUP AUTOMOBILES SPA,2010,975822,1136.56,115.29
FORD WERKE GMBH,FORD-WERKE GMBH,2010,1076887,1289.42,121.13
GM KOREA,GM KOREA COMPANY,2010,146117,1253.96,125.76
HYUNDAI,HYUNDAI MOTOR COMPANY,2010,325603,1300.33,120.86
KIA,KIA MOTORS CORPORATION,2010,253706,1399.3,126.25
MAZDA,MAZDA MOTOR CORPORATION,2010,170007,1339.67,133.73
NISSAN,NISSAN INTERNATIONAL SA,2010,389818,1347.39,132.13
RENAULT,RENAULT SAS,2010,1125141,1307.33,120.7
SEAT,SEAT SA,2010,288629,1278.38,120.16
SKODA,SKODA AUTO AS,2010,420718,1311.28,127.87
TOYOTA,TOYOTA MOTOR EUROPE NV SA,2010,564633,1335.87,112.24
VOLKSWAGEN,VOLKSWAGEN AG,2010,1469419,1387.65,125.99
VOLVO,VOLVO CAR CORPORATION,2010,204926,1662.43,134.49
